disease,symptom
trigeminal neuralgia,ach affect area attack bout brush burn cheek chew constant day electr episod evolv experi eye face feel focus forehead frequent gum includ intens jab jaw last like lip longer minut month nerv neuralgia occur pain pattern peopl period rare second sever shock shoot side spasm speak spontan spot spread suppli teeth thing time touch trigemin trigger week wider
fibrous dysplasia,ach activ arm away bear bone brown chang curvatur deform differ difficulti dull earli femur fractur hormon humerus increas interrupt leg length light limb limp mild moder overact pain particular pelvi product puberti rest rib shape shinbon skin skull sleep spot swell thighbon tibia unexplain upper usual walk weight
thoracic aortic aneurysm,breath chest cough hoars pain short tender
strep throat,ach area bodi children come especi fever hard headach lymph mouth nausea neck node pain palat patch pus quick rash red roof soft spot streak swallow swollen tender throat tini tonsil usual vomit white younger
moyamoya disease,aphasia arm bodi delay development difficulti disturb face headach involuntari leg movement numb paralysi seizur speak typic understand visual weak
hip labral tear,catch click groin hip joint limit lock long motion pain period rang sensat sit stand stiff walk wors
retractile testicle,appear disappear groin hand immedi move remain retreat scrotum spontan testicl time
pinched nerve,ach affect area asleep burn decreas fallen feel foot frequent hand muscl needl nerv numb outward pain paresthesia pin radiat sensat sharp suppli tingl weak
cryoglobulinemia,arthriti caus common cryoglobulinemia damag develop finger joint leg lesion nerv neuropathi numb occur pain peopl peripher problem purplish resembl rheumatoid skin symptom tip toe ulcer
polycystic ovary syndrome (pcos),abnorm acn androgen bald bodi common contain cycl day egg elev enlarg exampl excess facial fail fewer follicl function hair heavi hirsut hormon infrequ irregular level male menstrual occasion ovari pattern pcos period physic polycyst prolong regular result sever sign surround year
pediatric thrombocytopenia,bleed bruis call cut easi gum minor noseble petechia prolong purplish purpura skin small spot sprinkl
hirschsprung's disease,belli brown chronic constip diarrhea failur fatigu fussi gas green includ newborn substanc swollen thrive vomit
acoustic neuroma,affect balanc case dizzi ear facial gradual hear loss movement muscl numb occur pronounc rare ring sudden tinnitus unsteadi usual vertigo weak
end-stage renal disease,ankl appetit blood breath build chang chest control cramp decreas difficult fatigu feet fluid heart high hypertens itch line loss lung mental muscl nausea pain persist pressur problem sharp short sleep swell twitch urin vomit weak
schizotypal personality disorder,absent actual anxieti appear belief close cloth constant convers direct doubt dress eccentr emot event excess famili feel flat friend harmless have illus immedi inappropri incorrect inoffens interpret lack limit loner loyalti manner match mean mental odd outsid paranoid pattern peculiar percept persist person power presenc rambl respons sens social speak special speech style superstit suspici telepathi think thought unkempt unusu vagu way wear
transverse myelitis,abdomen abnorm affect arm base begin bladder bowel burn chest cloth cold constip cord develop difficulti drag especi extrem feel foot frequent heat heavi includ incontin leg light lower myeliti need notic numb pain paralysi peopl problem report sensat sensit sever sharp shoot skin spinal stumbl sudden symptom tight tingl total touch transvers urin urinari vari weak wrap
acl injury,activ bear continu feel give inabl instabl knee loss loud motion pain pop rang rapid sensat sever swell way weight
stroke,accompani affect alter arm balanc begin blacken blur bodi confus conscious coordin develop difficulti dizzi doubl droop experi eye face fall have head headach indic leg lose loss mouth numb paralysi problem rais say see sever slur smile speak speech stroke stumbl sudden time tri troubl understand vision vomit walk weak word
tetralogy of fallot,abnorm bed blood bluish breath caus club color conscious cri cyanosi difficulti discolor easili especi exercis faint feed finger gain heart irrit loss low murmur nail oxygen pass play poor prolong rapid round seizur shape short skin tire toe unusu weak weight
hepatitis a,abdomin appetit beneath bowel clay color dark discomfort especi eye fatigu fever grade intens itch jaundic joint liver loss low lower movement nausea pain rib right skin sudden upper urin vomit white yellow
immune thrombocytopenia (itp),appear bleed blood bruis easi excess flow gum heavi leg like look lower menstrual nose petechia pinpoint purpl rash reddish size skin spot stool superfici unusu urin usual
acute flaccid myelitis (afm),arm difficulti droop eye eyelid facial inabl leg loss move muscl neck numb pain pass reflex slur speech sudden swallow tingl tone urin weak
overactive bladder,control difficult experi feel frequent hour immedi incontin loss need night nocturia sudden time unintent urg urgenc urgent urin usual wake
henoch-schonlein purpura,affect ankl appear area arm arthriti away belli blood bloodi bruis buttock case children classic clear damag develop digest diseas face feet goe henoch ill involv joint kidney knee know last leav leg like line look main nausea occur pain pass peopl persist preced pressur protein purpl purpura rash reddish schonlein show sock sore spot stool subsid swell swollen symptom test tract trunk urin usual vomit waistlin week wors
cardiogenic shock,blood breath cold conscious feet hand heartbeat hypotens loss low normal pale pressur puls rapid sever short skin sudden sweat tachycardia urin weak
dislocation,deform discolor immov intens pain place swollen visibl
nicotine dependence,abl activ anger anxieti attempt caus concentr constip crave depress despit develop diarrhea difficulti famili free friend frustrat go health heart hunger increas insomnia irrit lung mood physic problem relat restaur restless situat smoke social stop strong symptom tri unsuccess withdraw
enlarged spleen (splenomegaly),abdomen anemia bleed case easi eat enlarg fatigu feel frequent full infect left pain press shoulder small spleen spread stomach symptom upper
chronic fatigue syndrome,armpit concentr dizzi enlarg exercis exhaust extrem fatigu headach joint lie lymph memori mental move muscl neck node pain physic problem sit sleep sore stand throat unexplain unrefresh worsen
male infertility,abnorm area bodi breast chromosom count decreas desir difficulti dysfunct ejacul erect erectil exampl facial fewer fluid function growth gynecomastia hair hormon inabl infect lower lump maintain millilit million normal pain problem recurr reduc respiratori semen sexual sign small smell sperm swell testicl total volum
hot flashes,anxieti appear blotchi bodi chest chill face feel flash flush heartbeat hot let neck perspir rapid red skin spread sudden upper warmth
psoriasis,abnorm adult affect appear area arm arthriti bacteri bed bleed bodi breast burn buttock case caus chang children clear common cover crack crumbl damag defin discolor dri drop elbow entir erythroderm feet fill fingernail fold form friction fungal general groin growth guttat hand infect intens invers itch itchi joint knee lead leg lesion loosen lower main mark mild nail occur onycholysi pain palm patch peel perman pit plaqu primarili progress psoriasi psoriat pus pustular rais rang rare rash red ridg scale scalp seen separ sever shape sign silveri skin small smaller smooth sole sore spot stiff strep sweat swollen symptom tender thick thicken throat time toenail trigger trunk type typic usual widespread worsen young
cavities/tooth decay,appar bite black brown caus cold drink eat hole hot mild occur pain pit sensit sharp spontan stain surfac sweet teeth tooth toothach visibl white
low sex drive in women,activ concern fantasi have includ interest lack masturb seldom sexual thought type
pink eye (conjunctivitis),crust discharg eye feel form gritti itchi morn night open prevent red tear
chlamydia trachomatis,bleed discharg intercours men pain peni period sex sexual testicular urin vagin women
male breast cancer,begin breast chang cover dimpl discharg inward lump nippl painless pucker red scale skin thicken tissu turn
mitral valve prolapse,activ arrhythmia breath difficulti dizzi fatigu flat heartbeat irregular lie lightheaded physic race short
adenomyosis,bleed chronic cramp dysmenorrhea dyspareunia heavi intercours knifelik menstrual menstruat pain pelvic prolong sever sharp
rickets,ankl bow breastbon delay growth knee knock leg motor muscl pain pelvi project skill spine thicken weak wrist
pemphigus,begin blister caus chest eat foliaceus genit hard itch itchi membran mouth mucous pain pemphigus shoulder skin swallow tend throat type typic usual vulgari
bronchitis,accompani associ blood breath chest chill clear color cough discolor discomfort fatigu fever gray green higher last mucus prevent produc product rare short sleep slight sputum streak week wheez white yellowish
airplane ear,bleed discomfort ear feel full hear increas loss moder muffl pain pressur ring sensat sever slight spin stuffi tinnitus vertigo
moles,area bigger birth black blue brown color congenit cover diamet eras face flat grow hair inch limb millimet mole nevi oval pencil pink present rais rare red round shape size smooth tan textur torso usual wide wrinkl
appendicitis,abdomen abdomin appetit begin bloat constip cough diarrhea fever flatul grade ill jar loss low lower movement nausea navel pain progress right shift sudden vomit walk worsen
ambiguous genitalia,abnorm absenc appear carri clitori close closer condit enlarg extend feel fold fulli fuse hypospadia includ labia like lump micropeni narrow open peni resembl scrotum semen small test testicl tip tube undescend urethr urethra urin
schizophrenia,abil abnorm activ agit answer appear base behavior belief bizarr catastroph certain chang childlik comment common communic complet contact delus direct disorgan effect emot everyday exampl except excess exist experi express extrem eye facial fals fame focus forc function gestur goal hallucin harass hard harm hear hygien impact impair inappropri includ infer instruct interest involv known lack lose love major meaningless monoton motor movement negat neglect normal number occur partial peopl person pleasur postur put question rare realiti reduc refer resist respons salad schizophrenia see sens silli social speak speech symptom task thing think understood unpredict unrel useless usual voic way withdraw word
peripheral nerve tumors,affect area balanc dizzi function loss lump numb pain skin swell tingl weak
heart attack,abdomin ach arm breath chest cold dizzi fatigu heartburn indigest jaw lightheaded nausea neck pain pressur sensat short spread squeez sudden sweat tight
presbyopia,away blur clearer close distanc eyestrain farther headach hold letter materi normal read tendenc vision work
congenital myopathies,anesthesia arm arrest autophag biopsi bodi breath cap caus central centronuclear common condit congenit contract core cramp delay develop development diseas disproport droop eye eyelid face facial feed fiber floppi found general hyalin hyperthermia includ lack leg male malign motor multiminicor muscl myogenesi myopathi myosin myotubular neck nemalin notic occur peopl problem rare reaction scoliosi sever signific skill small storag subtyp tissu tone trunk type vacuolar weak zebra
legionnaires' disease,ach blood breath bring chang chest confus cough diarrhea fever gastrointestin headach higher mental mucus muscl nausea pain short symptom vomit
entropion,crust discharg excess eye eyelid feel irrit light mucous pain red sensit tear wateri wind
essential tremor,affect aggrav begin bodi caffein emot extrem fatigu gradual hand head includ motion movement occur promin stress temperatur usual worsen yes
dressler's syndrome,chest fever pain
preeclampsia,abdomin addit blood blur breath caus chang decreas excess fluid function headach impair includ kidney level light liver loss lung nausea output pain platelet problem protein proteinuria rib right sensit sever short sign temporari thrombocytopenia upper urin usual vision vomit
crohn's disease,abdomin anus appetit blood cramp diarrhea drainag fatigu fever fistula inflamm loss mouth near pain reduc skin sore stool tunnel weight
vitiligo,acrofaci affect age appear area beard bodi call color common correspond discolor ear eye eyebrow eyelash face focal general genit gray hair hand insid line local loss membran mouth mucous near nose occur open part patch patchi prematur progress scalp segment similar skin stop surfac symmetr tend tissu type univers usual vitiligo whiten year younger
seborrheic keratosis,black brown centimet characterist color flat inch itch light look oval past rais rang round scali shape size slight small surfac tan
hantavirus pulmonary syndrome,abdomin accumul ach blood breath chill cough diarrhea effici fever fluid headach heart low lung muscl pain pressur produc reduc secret short vomit
blastocystis hominis,abdomin appetit bloat diarrhea excess fatigu flatul gas loss nausea pain wateri
stretch marks,abdomen area black blue bodi breast bright buttock color cover fade hip indent larg lighter line pink purpl red skin streak thigh
measles,accompani acut appear background begin blotch bluish break bump call center cheek cluster communic conjunct consist cough day dri end eye face fever flat flow found ill incub infect inflam inner insid koplik larg line measl mild moder mouth nonspecif nose period persist person present rais rash red relat runni sign skin slight small sore splotchi spot spread start symptom throat tight time tini typic virus white
black hairy tongue,alter appear bad black breath brown color discolor excess furri gag green hairi halitosi metal mouth overgrowth papilla sensat tan tast tickl tongu white yellow
median arcuate ligament syndrome (mals),area away bloat bodi diarrhea eat exercis fear food forward greater kilogram lead lean loss middl nausea pain posit pound shift signific stomach upper usual vomit weight
keratosis pilaris,area arm bump buttock caus chang cheek dri drier flesh goos humid like low painless resembl rough sandpap season skin tend thigh tini typic upper worsen
prolactinoma,acn activ bodi bone breast decreas densiti discharg disturb dryness dysfunct enlarg erectil excess facial feed gland growth hair headach hormon infertil intercours interest irregular loss low menstrual milki pain period pituitari pregnant pressur product reduct result sexual tumor uncommon vagin visual
acne,blackhead bump close cystic fill larg lesion lump nodul open pain papul pimpl plug pore pus pustul red skin small solid tender tip whitehead
medication overuse headaches,concentr day difficulti earli improv irrit medic memori morn nausea near occur pain problem relief restless return wake wear
optic neuritis,ach affect appear central color day develop dull extent eye feel field flash flicker hour improv light like loss month movement neuriti normal notic occur optic pain pattern peopl percept peripher perman reduct report see temporari usual vari vision visual vivid week worsen
agoraphobia,actual anxieti area avoid breath bridg bus chest chill choke companion control crowd danger diarrhea die distress dizzi elev enclos endur excess experi exposur extrem fear feel flush heart home last leav life lightheaded line longer loss lot mall month movi need numb open pain park phobia plane pressur problem proport public rapid rate result shaki signific situat small social space stomach store sudden sweat theater tingl train transport troubl upset usual wait work
premature birth,babi birth bodi breath cover deliveri difficulti disproportion distress especi fat featur feed fine hair head immedi labor lack lanugo larg lead look low reflex respiratori room round sharper size small store suck swallow temperatur term
stomach cancer,amount bloat difficulti eat feel food heartburn indigest loss nausea pain small stomach swallow unintent vomit weight
malignant hyperthermia,abnorm bodi breath carbon color danger dioxid excess heart high irregular low mottl muscl oxygen patchi problem rapid rate rhythm rigid sever shallow skin spasm sweat temperatur
tongue-tie (ankyloglossia),appear difficulti heart lift lower move notch past shape stick stuck teeth tongu troubl upper
liver hemangioma,abdomen eat feel food nausea pain right small upper vomit
pediatric brain tumors,abnorm abrupt appetit arm babi balanc behavior chang confus difficulti doubl droop especi eye face feed feel fontanel frequent fuller head headach hear histori increas irrit leg loss memori movement nausea onset person pressur problem seizur sensat sever skull slur soft speech spot swallow troubl unexplain vision vomit walk weak
rheumatoid arthritis,appetit blood bone eye fatigu fever gland heart inact joint kidney loss lung marrow morn nerv salivari skin stiff swollen tender tissu usual vessel warm wors
neurodermatitis,affect area darker itchi leatheri patch rais red rest rough scali skin textur
myelofibrosis,anemia bleed bone breath bruis easi enlarg excess feel fever full left night pain rib short sleep spleen sweat tire usual weak
stage 4 prostate cancer,blood bone decreas fatigu forc leg pain semen stream swell urin
seborrheic dermatitis,area armpit beard breast chest cover crust dandruff ear eyebrow eyelid face flake flaki greasi groin hair itch mustach nose patch red scale scalp side skin white yellow
lice,adult area bacteria bite bodi brush bump cloth dandruff difficult ear easiest easili egg especi feel genit groin hair infect intens itch larger lead lice mark mistaken movement nape neck nit pubic red scalp scratch seed sesam shaft shoulder size slight small sore spot thigh tickl tini unlik upper waist
esophagitis,acid breastbon chest difficult difficulti eat esophagus failur feed food heartburn impact occur pain particular regurgit stuck swallow thrive
dyslexia,activ age alik aloud answer avoid cake color complet confus correct differ difficulti easi easili expect express find foreign form game hear idiom inabl includ intens involv joke labor languag late learn letter level long math mean memor mispronounc name new number nurseri occasion piec play problem process pronunci question read rememb retriev revers rhyme right see sequenc similar slow slowli sound specif spell spend stori summar talk task thing time troubl understand understood unfamiliar unusu word write
fecal incontinence,bloat constip diarrhea gas
cold urticaria,anaphylaxi area bodi breath caus cold consum difficult drink expos faint food hand heart hive hold itchi limb lip object race reaction reddish respons shock skin swell temporari throat tongu torso warm welt worsen
baker's cyst,flex fulli inabl knee leg pain stiff swell
squamous cell carcinoma of the skin,anus area crust evolv firm flat genit insid lip mouth new nodul old open patch rais red rough scali scar sore ulcer wartlik
acute sinusitis,ach alter bad bend blockag breath caus cheek congest cough difficulti discharg drainag ear eye fatigu fever forehead greenish headach nasal nose pain postnas pressur sens smell swell teeth tender thick throat worsen yellow
abdominal aortic aneurysm,abdomen bellybutton constant deep near pain puls
premature ejaculation,acquir begin develop ejacul ejaculatori encount experi lifelong near occur prematur previous primari problem secondari sexual time
vasculitis,abrupt ach affect arter bleed blind blood breath burn caus cell cough develop digest diseas dizzi doubl ear eat experi eye fatigu feet fever foot general giant hand harden headach hear intestin itch look loss lump lung numb occur open pain palm perfor perman possibl red result ring short sign skin sole sore spot stomach stool swell system temporari type ulcer vascul vision weak weight
mitral valve stenosis,activ arrhythmia blood breath buildup chest cough discomfort dizzi especi exert faint fatigu feet fluid flutter heart heartbeat increas irregular leg lie lung murmur pain palpit physic rapid rhythm sensat short swollen
panic attacks and panic disorder,abdomin breath chest chill control cramp danger death detach dizzi doom faint fear feel flash headach heart hot impend lightheaded loss nausea numb pain pound rapid rate sens sensat shake short sweat throat tight tingl trembl unreal
congenital heart defects in children,abdomen activ ankl area blue breath color cyanosi easili exercis eye faint feed feet gain gray hand lead leg pale poor rapid short skin swell tire weight
kidney stones,abdomen amount brown burn chill cloudi come fever fluctuat foul groin infect intens lower nausea need pain persist pink present radiat red rib sensat sever sharp small smell urin usual vomit wave
hypoglycemia,abnorm anxieti behavior blur cheek complet confus conscious disturb fast fatigu heartbeat hunger inabl irregular irrit lip loss numb pale routin seizur shaki skin sweat task tingl tongu vision visual
ganglion cyst,ankl caus centimet common cyst develop diamet feet felt fluctuat form ganglion get hand inch joint larger locat lump measur motion muscl near nerv notic numb occur oval pain painless press repetit round shape size small tendon tingl use usual weak wrist
chronic daily headaches,chronic continua daili headach hemicrania migrain new persist tension type
sexually transmitted diseases (stds),abdomin area bleed bump burn discharg feet fever genit groin hand lower lymph node odd oral pain particular peni rash rectal sex smell sore swollen trunk unusu urin vagin widespread
gallbladder cancer,abdomen abdomin bloat eye jaundic lose pain particular portion right skin tri upper weight white yellow
transient global amnesia,abil absenc activ amnesia area brain cognit damag despit direct durat epilepsi evid familiar follow general gradual head histori hour ident impair indic injuri involuntari limb loss memori movement normal object onset paralysi particular period person recent recogn recognit retent return seizur shorter sign simpl sudden verifi wit word
soft palate cancer,away bad bleed breath difficulti ear heal hurt loos loss mouth neck pain patch sore speak swallow swell teeth weight white
undifferentiated pleomorphic sarcoma,abdomen affect appetit area arm constip fever foot grow hand larg leg limb loss lump numb occur pain swell tingl weight
bone cancer,affect area bone fatigu fractur lead loss near pain swell tender unintend weaken weight
suicide and suicidal thoughts,affair agit alcohol anxious away belong born buy chang contact day dead death deepli destruct develop die discourag drive drug eat emot exampl experienc explan feel get give go goodby gun have high hopeless includ increas kill left life list logic make mean mood normal order particular pattern peopl person pill preoccupi reckless riski routin say seen self sever sign situat sleep social statement stockpil suicid swing talk thing trap use violenc want warn wish withdraw
rumination syndrome,abdomin bad breath eat effortless feel full loss minut nausea pain pressur regurgit reliev typic unintent weight
post-polio syndrome,activ apnea atrophi breath cold decreas disord exhaust fatigu general joint minim muscl pain problem progress relat sleep swallow temperatur toler weak
patellofemoral pain syndrome,bent knee kneel long period sit squat stair time walk
achilles tendon rupture,bend calf downward feel foot have heel inabl injur injuri kick leg near occur pain pop possibl push sever snap sound stand swell toe walk
tuberous sclerosis,abnorm acn activ adhd adjust age aggress appear area associ attent autism begin behavior benign birth brain breath bump call caus child childhood children cognit color common cough deficit delay develop development disabl disord emot especi exercis eye facial get growth harmless head health heart hyperact includ infantil injuri intellectu interfer issu kidney largest learn leg light lung men mental nail noncancer occur older patch peopl physic present problem reddish repetit resembl retina sclerosi seizur self sensit short show shrink skin small smooth social spasm spectrum symptom thicken tissu tuber tumor type usual vision white women
breast pain,activ area breast continu coupl daili get interfer occur specif time week wors
gastroparesis,abdomin acid appetit bite bloat blood chang earlier eat eaten feel food full hour lack level loss malnutrit nausea pain reflux sugar undigest vomit weight
chronic kidney disease,ankl appetit blood breath build chang chest control cramp decreas difficult fatigu feet fluid heart high hypertens itch line loss lung mental muscl nausea pain persist pressur problem sharp short sleep swell twitch urin vomit weak
trachoma,affect appear blood bump caus cell cloud common compound conjunctiva contain continu cornea corneal deform discharg distort earli entropion examin eye eyelash eyelid follicl follicular high infect infecti inflamm inner intens irrit itch lash lead lid light line loss lymphocyt magnif mild mucus opac outer pain photophobia pus red repeat rub scar scratch seen sensit small stage surfac swell thicken transpar trichiasi turn type upper visibl vision white
cancer,area bladder bleed bowel breath bruis chang cough darken difficulti discomfort eat exist fatigu felt fever gain habit heal hoars includ indigest joint loss lump mole muscl night pain persist red skin sore swallow sweat thicken troubl unexplain unintend weight yellow
buerger's disease,activ arm blood blue claudic clot cold come eas expos feet finger hand inflamm leg numb occur open pain pale phenomenon raynaud reddish rest skin sore stop surfac tingl tint toe turn use vein
sickle cell anemia,abdomen anemia antibiot apart block blood bodi bone break call caus cell chest children common crise damag day delay develop die doctor easili episod eye feet flow frequent growth hand healthi imag infant infect joint lead leav life live major need nutrient occur oxygen pain period plug pneumonia portion potenti prevent problem process provid puberti red replac retina shape shortag sickl slow spleen suppli swell symptom teenag threaten tini usual vaccin vessel vision visual vulner
menstrual cramps,abdomen ach continu cramp day dizzi dull headach hour intens loos lower nausea onset pain peak period radiat start stool subsid thigh throb
impacted wisdom teeth,bad bleed breath difficulti gum jaw mouth open pain red swell swollen tast tender unpleas
cervicitis,amount associ bleed discharg frequent intercours larg menstrual pain period unusu urin vagin
bone metastasis,arm blood bone bowel broken calcium caus confus constip high hypercalcemia incontin leg level nausea pain urinari vomit weak
brain avm (arteriovenous malformation),area bodi confus difficulti head headach inabl loss muscl numb pain paralysi seizur sever speak understand unsteadi vision weak
constipation in children,back blood bowel child difficult dri hard have liquid movement pain pass pasti rectum sign stomach stool surfac trace underwear week
heart valve disease,abdomin abnorm activ advanc ankl beat breath chest common dizzi doctor faint fatigu feet heart heartbeat irregular lie listen murmur pain particular regurgit short sound stethoscop swell tricuspid
gas and gas pains,abdomen bloat burp cramp distent feel full gas increas knot observ pain pass pressur size
chronic traumatic encephalopathy,apathi behavior carri cognit depress difficulti emot execut function impair impuls instabl loss memori misus plan short substanc suicid task term think thought
tay-sachs disease,babi cherri crawl exagger eye hear includ loss loud motor movement muscl nois problem reaction red seizur sit skill spot turn vision weak
chronic pelvic pain in women,ach bowel come cramp deep dull goe have heavi intercours intermitt long movement pain pelvi period pressur sever sharp sit steadi time urin
stevens-johnson syndrome,blister burn day eye fatigu fever form genit membran mouth mucous nose pain purplish rash red shed skin sore spread throat unexplain widespread
factitious disorder,allow appar argu care condit differ diseas doctor eager evid expect extens fake famili frequent friend have health hospit includ inconsist knowledg medic numer oper procedur profession reason reluct respond riski scar seek staff standard stay surgic symptom talk term test therapi treatment vagu visitor wors
non-hodgkin's lymphoma,abdomin armpit breath chest cough fatigu fever groin loss lymph neck night node pain painless persist sweat swell swollen troubl unexplain weight
common cold in babies,appetit bottl clear congest cough decreas difficulti discharg fever green irrit nasal nose nurs runni sleep sneez take thicken troubl turn yellow
fetal macrosomia,amniot averag babi bone care distanc excess expect fetal fluid fundal have health height larg larger macrosomia measur polyhydramnio pregnanc prenat protect provid pubic sign surround uterus visit
jaw tumors and cysts,adenomatoid affect aggress ameloblast ameloblastoma aneurysm basal benign bone calcifi call carcinoma caus cell cementoblastoma central chanc common condit cyst dental dentiger destroy destruct develop displac epitheli erupt fibroma form found fulli genet giant glandular granuloma grow includ inherit interfer invad involv jaw keratocyst known larg lesion lessen local lower molar mouth myxoma near nevoid noncancer occur odd odontogen odontoma origin ossifi osteoblastoma pain peopl portion rapid rare recur recurr reduc refer relat requir resembl resolv shape shrink slow small soft squamous structur surgic surround symptom syndrom teeth tendenc tissu tooth treatment tumor tumorlik type typic usual wisdom
chilblains,accompani area blister blue burn chang color dark feet hand itchi pain possibl red sensat skin small swell ulcer
erectile dysfunction,desir erect get keep reduc sexual troubl
wilms' tumor,abdomin appetit blood breath constip feel fever high loss mass nausea pain pressur short swell urin vomit
brucellosis,appetit chill fatigu fever headach joint loss muscl pain sweat weak
meningioma,arm blurri chang difficulti doubl ear especi headach hear languag leg loss memori morn ring see seizur smell vision weak wors
ringworm (body),area arm bump buttock clear expand flat insid itch itchi leg overlap patch rais red ring round scali scatter shape skin slight trunk typic
heartburn,acid bend bitter burn chest eat lie mouth night occur pain tast usual worsen
peripheral nerve injuries,activ associ autonom balanc blood breath button chang close conscious control cramp damag digest excess experi eye fasten feet food function gastrointestin group hand heart heat hold inabl includ inform keep motor muscl nerv nom numb object pain pressur regul relay sens sensori sweat symptom talk temperatur thyroid tingl toler touch troubl twitch typic uncontrol varieti walk weak
keratitis,blur decreas difficulti discharg excess eye eyelid feel irrit light open pain photophobia red sensit tear vision
sleepwalking,activ addit adult awaken awar bed behavior brief car caus child closet communic confus continu danger day daytim difficult disori disrupt disturb dress drive eat engag episod exampl excess express eye fall function get glassi glaze hous household immedi injur injuri jump lead leav member morn night occasion occur open period person problem rememb respond result routin sexual short signific sit sleep sleepi sleepwalk stair start symptom talk teen terror time unusu urin violent wake walk week window year
lymphedema,ach arm discomfort feel fibrosi finger harden heavi includ infect leg motion rang recur restrict skin swell thicken tight toe
narcolepsy,afterward anytim asleep awaken awar bedroom begin brief call cataplexi caus chang complet condit control day daytim difficulti dream episod eventu exampl excess experi eye fall feel friend frighten fulli half hallucin happen hour hypnagog hypnopomp inabl kat last loss minut movement muscl narcolepsi nod number occur paralysi particular peopl physic plek quick rapid realiti recal refresh rem second sleep sleepi slur speak speech stranger sudden talk temporari time tone transit typic usual vivid wake warn weak work
juvenile idiopathic arthritis,appear case child clumsier common complain especi even fever high joint knee larger limp lymph morn nap node notic occur pain particular rash stiff swell swollen thing trunk usual wors
cleft lip and cleft palate,affect appear chronic come difficulti ear extend face feed food gum infect lip liquid mouth nasal nose notch palat potenti roof side small speak split swallow upper voic
meningitis,appetit concentr confus differ difficulti fever headach high light mening meningococc nausea neck normal rash seizur sensit sever skin sleepi stiff sudden thirst vomit wake
intermittent explosive disorder,anim argument assault chest damag energi fight heat increas irrit palpit peopl physic properti push race rage shout shove slap tantrum temper thought threaten tight tingl tirad tremor
toxoplasmosis,ach bodi fatigu fever headach lymph node swollen
anal fissure,anal anus blood bowel bright crack fissur hour lump movement near pain paper red sever skin small stool tag toilet visibl
vaginitis,anti bacteri bleed call caus chang chees chill color complet confid cottag counter cours describ develop diagnosi discharg doctor establish fever fishi foul frothi grayish greenish help identifi infect intercours irrit itch know learn light main medic moe multipl new nie obvious odor pain particular partner pelvic persist previous recent resembl see sex sexual sign similar sis smell spot symptom thick transmit trichomoniasi trik unpleas urin vagin vagina vaginosi white yeast yellow
sjogren's syndrome,burn cotton cough difficult dri dryness ear eye fatigu feel gland gritti itch jaw joint like locat make mouth pain particular persist prolong rash salivari sand set skin speak stiff swallow swell swollen vagin
atrial fibrillation,abil abnorm atrial away blood breath call case chest clot come continu control dizzi electr episod exercis fatigu fibril flip flop happen heart heartbeat hour irregular last lightheaded long longer medic minut month mul need normal occasion occur order pain palpit par paroxysm perman persist prevent race rate reduc repeat requir restor rhythm sensat shock short siz stand symptom treatment type uncomfort usual weak week
separation anxiety disorder,anticip away bad caus complaint constant disast distress excess fear frequent happen headach home hous ill kidnap lose lost love nearbi nightmar one parent recurr refus reluct repeat separ sleep stomachach symptom want worri
chronic hives,angioedema appear batch bodi chang color cours exercis eyelid fade flare frequent heat insid itch lip month pain persist reaction recur red repeat run sever shape sign size skin stress swell symptom tendenc throat trigger unpredict vari week welt wheal year
pancreatic cysts,abdomin eat feel loss nausea pain persist radiat soon start vomit weight
lichen nitidus,abdomen appear area arm bodi bump case chest clear color common constant creas darker elbow feet fingernail flat fold genit includ insid intens itch lichen lighter line locat nitidus normal occur palm peni peopl pinhead pink pinpoint pressur rang rare round scratch shape site size skin slight sole top usual wrist
horner syndrome,affect anhidrosi anisocoria appear call delay differ dilat dim droop elev entir eye eyelid face isol lid light littl lower miosi notabl open patch persist ptosi pupil size skin slight small sunken sweat upper upsid
gout,abl affect ankl attack begin big common day discomfort elbow finger gout hour includ inflamm intens joint knee larg later like limit linger longer motion normal occur pain progress rang red sever subsid swollen tender toe usual warm week wrist
menopause,breast chang chill dri dryness flash full gain hair hot irregular loss metabol mood night period problem skin sleep slow sweat thin vagin weight
hemolytic uremic syndrome (hus),abdomin ankl bleed bloat blood bloodi bodi breath bruis cheek color confus cramp decreas diarrhea easi edema entir extrem eyelid face fatigu feet fever hand high includ insid leg loss lower mouth nose pain pale pink pressur seizur short stroke swell unexplain unusu urin vomit
progeria,abnorm averag beak blood bone cardiovascular closur delay diseas disloc disproportion extrem eye eyebrow eyelash eyelid face fat format fragil growth hair harden head hear heart height high hip includ incomplet insulin jaw joint larg lip loss lower mass muscl narrow nose pitch progress promin resist scleroderma sever similar skelet skin slow small spotti stiff thin tighten tooth trunk vein vessel visibl voic weight wrinkl
traveler's diarrhea,abdomin abrupt cramp day defec fever loos nausea need onset passag stool urgent vomit
inflammatory bowel disease (ibd),abdomin appetit blood cramp diarrhea fatigu loss pain reduc stool unintend weight
acute myelogenous leukemia,bleed bone breath bruis easi fatigu fever frequent gum infect lethargi noseble pain pale short skin unusu
claudication,ach better bicep buttock calv constant cool discolor discomfort fatigu feet forearm get heal hip muscl numb pain progress rest sever shoulder skin soon thigh time use wound
common warts,black blood bump clot color flesh fleshi graini pink pinpoint rough small sprinkl tan touch vessel white
pulmonary atresia,breath cyanosi easili fast fatigu feed gray problem short skin tire tone
